Descriptor,Feature importance
D_297,1.3555691554467564
D_298,1.3696450428396574
D_299,2.0385556915544676
D_300,2.1217870257037945
D_301,1.9724602203182375
D_302,1.2166462668298654
D_303,0.737454100367197
D_304,0.6260709914320686
D_305,0.3347613219094247
D_306,0.15728274173806608
D_307,0.0416156670746634
D_308,0.02386780905752754
D_309,0.028151774785801713
D_310,0.006731946144430845
D_311,0.0024479804161566705
D_312,0.0012239902080783353
D_313,0.0024479804161566705
D_356,0.01835985312117503
D_357,0.016523867809057527
D_358,0.00795593635250918
D_359,0.0006119951040391676
D_360,0.0036719706242350062
D_361,0.0030599755201958386
D_362,0.0055079559363525096
D_363,0.0024479804161566705
D_364,0.004283965728274173
D_365,0.012239902080783354
D_366,0.009179926560587515
D_367,0.0055079559363525096
D_368,0.0036719706242350062
D_369,0.0018359853121175031
D_370,0.0006119951040391676
D_371,0.0006119951040391676
D_377,0.0012239902080783353
D_378,0.0012239902080783353
D_380,0.0024479804161566705
D_381,0.15973072215422277
D_382,0.23194614443084455
D_383,0.3616891064871481
D_384,0.412484700122399
D_385,0.6682986536107711
D_386,0.7631578947368421
D_387,0.5685434516523867
D_388,0.8439412484700123
D_389,1.1438188494492043
D_390,1.4969400244798041
D_391,1.2362301101591187
D_392,1.1211750305997552
D_393,0.828641370869033
D_394,0.7894736842105263
D_395,0.6370869033047736
D_396,0.3053855569155447
D_397,0.15055079559363524
D_398,0.12239902080783353
D_399,0.12362301101591187
D_400,0.08751529987760098
D_401,0.052019583843329255
D_402,0.03182374541003672
D_403,0.009791921664626682
D_418,0.004895960832313341
D_419,0.0018359853121175031
D_420,0.0012239902080783353
D_421,0.0006119951040391676
D_425,0.0030599755201958386
D_426,0.004895960832313341
D_427,0.004283965728274173
D_428,0.0036719706242350062
D_429,0.0018359853121175031
D_430,0.0012239902080783353
D_431,0.0018359853121175031
D_432,0.0024479804161566705
D_433,0.0036719706242350062
D_434,0.0030599755201958386
D_435,0.0012239902080783353
D_436,0.0024479804161566705
D_437,0.004895960832313341
D_438,0.0024479804161566705
D_461,0.025703794369645042
D_462,1.8935128518971849
D_463,2.1842105263157894
D_464,2.1009791921664625
D_465,2.3996328029375764
D_466,2.2282741738066094
D_467,1.8292533659730723
D_468,1.7093023255813953
D_469,3.1217870257037945
D_470,4.507955936352509
D_471,4.460832313341493
D_472,3.0752753977968177
D_473,2.0826193390452876
D_474,1.5159118727050183
D_475,0.9645042839657283
D_476,0.3580171358629131
D_477,0.1438188494492044
D_478,0.3023255813953488
D_479,0.3929008567931457
D_480,0.2637698898408813
D_481,0.1456548347613219
D_482,0.05385556915544676
D_483,0.017135862913096694
D_484,0.009791921664626682
D_505,3.042839657282742
D_506,3.028763769889841
D_507,2.186046511627907
D_508,0.4981640146878825
D_509,0.9075887392900857
D_510,0.7086903304773562
D_511,1.2172582619339045
D_512,1.5716034271725827
D_513,1.4137086903304774
D_514,0.8641370869033048
D_515,0.29008567931456547
D_516,0.4975520195838433
D_517,0.824969400244798
D_518,0.9859241126070991
D_519,0.9877600979192166
D_520,0.7723378212974297
D_521,0.4149326805385557
D_522,0.19951040391676866
D_523,0.0966952264381885
D_524,0.2717258261933905
D_525,0.48959608323133413
D_526,0.3390452876376989
D_527,0.10648714810281518
D_528,0.0208078335373317
D_529,0.0024479804161566705
D_547,0.0
D_548,0.0006119951040391676
D_549,0.0
D_550,0.0006119951040391676
D_561,0.0006119951040391676
D_562,0.0012239902080783353
