Descriptor,Feature importance
D_438,0.0
D_461,2.8954081768338987e-06
D_462,0.00023296354277021003
D_463,0.0007698230756946105
D_464,0.0022717772290135187
D_465,0.0007366161799611855
D_466,0.0006532095747288786
D_467,0.0011898850722463189
D_468,0.0008782623441361406
D_469,0.0006377410193862133
D_470,0.0006959680160925399
D_471,0.0008113895761765804
D_472,0.0006162981139926004
D_473,0.0004126156433050354
D_474,0.00025835912859029683
D_475,0.00041657934267976964
D_476,0.00016286689448787302
D_477,2.1978994548624047e-05
D_478,2.3108830257483515e-05
D_479,7.247013171796461e-05
D_480,2.1641995893544174e-05
D_481,9.296380431991055e-06
D_482,0.0
D_483,0.0
D_484,0.0
D_505,0.000913663497909257
D_506,0.0004599215662765751
D_507,0.0003209426790680511
D_508,0.00010079284899393679
D_509,0.00021778635932987963
D_510,1.0041559083723085e-05
D_511,0.00041912207912323554
D_512,7.373854363080046e-05
D_513,0.0011776754822990746
D_514,0.0018716023577848115
D_515,3.060703338932413e-05
D_516,0.00011169613254245848
D_517,0.00010136032395896583
D_518,0.0001093218526152464
D_519,0.00019713971726812758
D_520,0.00026332802785373826
D_521,8.590645650360525e-05
D_522,3.291518322109172e-05
D_523,1.3866567122937977e-05
D_524,1.6833498784767882e-05
D_525,3.803609461096826e-06
D_526,2.925669690701266e-05
D_527,2.11247529990374e-05
D_528,3.158549567700543e-06
D_529,0.0
D_547,0.0
D_548,0.0
D_549,0.0
D_550,0.0
D_561,0.0
D_562,0.0
D_563,0.0
D_564,0.0
D_565,0.0
D_566,0.00023415627951330628
D_567,0.0
D_568,0.0
D_569,0.0
D_570,0.0
D_571,0.00011302991284526804
D_572,0.0
D_573,6.920406104865772e-06
D_574,0.0
D_575,0.0
D_576,2.4858900395876105e-09
D_577,2.1403887840775154e-05
D_578,0.0
D_610,0.0
D_611,8.831790992307552e-09
D_612,0.0
D_613,0.0
D_614,0.0
D_615,3.750841747495476e-07
D_616,0.0
D_617,4.8860020594451326e-09
D_618,4.790800402437028e-07
D_619,3.8461261763260995e-08
D_620,9.858209832633666e-08
D_621,0.0
D_622,0.0
D_623,2.8911254612251958e-11
D_624,0.0
D_625,0.0
D_626,0.0
D_627,0.0
D_636,0.0
D_637,0.000603624792300693
D_638,1.2762655758308901e-06
D_639,0.01207416485593094
D_640,0.0
D_641,0.0
D_642,7.068682325465966e-09
D_643,0.0
D_644,1.7767975169204984e-06
D_645,2.750306163448158e-07
D_646,0.0
D_647,0.0
D_648,3.17813145579276e-05
D_649,3.066594094384398e-07
D_650,0.0
D_651,5.863897904003616e-06
D_652,5.716345199213749e-06
